测试用例ID,模块,功能,测试标题,前置条件,测试步骤,预期结果,优先级
1,用户管理,注册,验证手机号格式正确,用户进入注册页面,1. 输入正确格式的手机号（如13812345678）
2. 点击获取验证码按钮,系统成功发送验证码到该手机号,高
2,用户管理,注册,验证手机号格式错误 - 少于11位,用户进入注册页面,1. 输入少于11位的手机号（如1381234）
2. 点击获取验证码按钮,系统提示"请输入正确的手机号码"并且不发送验证码,高
3,用户管理,注册,验证手机号格式错误 - 多于11位,用户进入注册页面,1. 输入多于11位的手机号（如138123456789）
2. 点击获取验证码按钮,系统提示"请输入正确的手机号码"并且不发送验证码,高
4,用户管理,注册,验证手机号格式错误 - 包含非数字字符,用户进入注册页面,1. 输入包含非数字字符的手机号（如138abcd678）
2. 点击获取验证码按钮,系统提示"请输入正确的手机号码"并且不发送验证码,高
5,用户管理,注册,验证手机号格式错误 - 不是以1开头,用户进入注册页面,1. 输入不是以1开头的11位数字（如23812345678）
2. 点击获取验证码按钮,系统提示"请输入正确的手机号码"并且不发送验证码,高
6,用户管理,注册,验证手机号为空,用户进入注册页面,1. 不输入手机号
2. 点击获取验证码按钮,系统提示"手机号不能为空"并且不发送验证码,高
7,用户管理,注册,验证已注册手机号,系统中已存在使用该手机号注册的账户,1. 输入已注册的手机号
2. 点击获取验证码按钮,系统提示"该手机号已注册，请直接登录"并且不发送验证码,高
8,用户管理,注册,验证短信验证码正确,用户已获取短信验证码,1. 输入正确的短信验证码
2. 点击下一步按钮,系统验证通过并进入下一步（设置密码）,高
9,用户管理,注册,验证短信验证码错误,用户已获取短信验证码,1. 输入错误的短信验证码
2. 点击下一步按钮,系统提示"验证码错误"并且不允许进入下一步,高
10,用户管理,注册,验证短信验证码为空,用户已获取短信验证码,1. 不输入短信验证码
2. 点击下一步按钮,系统提示"验证码不能为空"并且不允许进入下一步,高
11,用户管理,注册,验证短信验证码过期,用户获取短信验证码后等待超过有效期（假设为5分钟）,1. 等待5分钟以上
2. 输入之前获取的验证码
3. 点击下一步按钮,系统提示"验证码已过期，请重新获取"并且不允许进入下一步,中
12,用户管理,注册,验证图片验证码正确,系统显示图片验证码,1. 输入正确的图片验证码
2. 点击获取短信验证码按钮,系统成功发送短信验证码,高
13,用户管理,注册,验证图片验证码错误,系统显示图片验证码,1. 输入错误的图片验证码
